scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Action,Jake holds his phone and dials the number.,EXAVITQu4vr4xnSDxMaL,01_Action_001.mp3,True
Slide 1,1,Clerk,"Good morning, TechLine customer service. How can I help you?",EXAVITQu4vr4xnSDxMaL,01_Clerk_002.mp3,True
Slide 1,1,Jake,"Hello, my name’s Jake Vella. I bought a new phone yesterday, but it doesn’t turn on.",EXAVITQu4vr4xnSDxMaL,01_Jake_003.mp3,True
Slide 2,2,Action,The clerk types on her computer.,EXAVITQu4vr4xnSDxMaL,02_Action_004.mp3,True
Slide 2,2,Jake,"Yes, of course. I’ve got the warranty too. Its number is 4529.",EXAVITQu4vr4xnSDxMaL,02_Jake_005.mp3,True
Slide 3,3,Action,Clerk checks the details on the screen.,EXAVITQu4vr4xnSDxMaL,03_Action_006.mp3,True
Slide 3,3,Clerk,Thank you. Did you charge the phone before turning it on?,EXAVITQu4vr4xnSDxMaL,03_Clerk_007.mp3,True
Slide 3,3,Jake,"Yes, I charged it for two hours, but nothing happened.",EXAVITQu4vr4xnSDxMaL,03_Jake_008.mp3,True
Slide 4,4,Action,Clerk nods and offers a solution.,EXAVITQu4vr4xnSDxMaL,04_Action_009.mp3,True
Slide 4,4,Clerk,I understand. Please bring the phone to our service centre. We’ll check or replace it for free.,EXAVITQu4vr4xnSDxMaL,04_Clerk_010.mp3,True
Slide 4,4,Jake,"That’s great, thank you. Where is the service centre?",EXAVITQu4vr4xnSDxMaL,04_Jake_011.mp3,True
Slide 5,5,Action,Clerk gives clear directions.,EXAVITQu4vr4xnSDxMaL,05_Action_012.mp3,True
Slide 5,5,Clerk,"It’s on Main Street, next to the post office. We’re open from 9 a.m. to 5 p.m.",EXAVITQu4vr4xnSDxMaL,05_Clerk_013.mp3,True
Slide 5,5,Jake,Thank you very much for your help.,EXAVITQu4vr4xnSDxMaL,05_Jake_014.mp3,True
Slide 6,6,Action,Both smile; the call ends politely.,EXAVITQu4vr4xnSDxMaL,06_Action_015.mp3,True
Slide 6,6,Clerk,You’re welcome. Have a nice day.,EXAVITQu4vr4xnSDxMaL,06_Clerk_016.mp3,True
Slide 6,6,Jake,You too. Goodbye.,EXAVITQu4vr4xnSDxMaL,06_Jake_017.mp3,True
