scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Scene,Street with a bus stop; Harry standing near the timetable. A middle-aged woman approaches him.,EXAVITQu4vr4xnSDxMaL,01_Scene_001.mp3,True
Slide 1,1,Tourist,"Excuse me, what time is it, please?",EXAVITQu4vr4xnSDxMaL,01_Tourist_002.mp3,True
Slide 1,1,Harry,It’s ten o’clock.,pNInz6obpgDQGcFmaJgB,01_Harry_003.mp3,True
Slide 2,2,Scene,Medium shot – the tourist looks at the bus stop sign.,EXAVITQu4vr4xnSDxMaL,02_Scene_004.mp3,True
Slide 2,2,Tourist,Thank you. Do you know when the next bus goes to the museum?,EXAVITQu4vr4xnSDxMaL,02_Tourist_005.mp3,True
Slide 2,2,Harry,"Yes, it leaves at half past ten from here.",pNInz6obpgDQGcFmaJgB,02_Harry_006.mp3,True
Slide 3,3,Scene,Close-up – Harry pointing at the timetable.,EXAVITQu4vr4xnSDxMaL,03_Scene_007.mp3,True
Slide 3,3,Tourist,And what time does the museum open?,EXAVITQu4vr4xnSDxMaL,03_Tourist_008.mp3,True
Slide 3,3,Harry,It opens at eleven o’clock.,pNInz6obpgDQGcFmaJgB,03_Harry_009.mp3,True
Slide 4,4,Scene,"Wide shot – both smiling, bus arriving in the background.",EXAVITQu4vr4xnSDxMaL,04_Scene_010.mp3,True
Slide 4,4,Tourist,"Perfect, I’ll be there in time. Thank you very much.",EXAVITQu4vr4xnSDxMaL,04_Tourist_011.mp3,True
Slide 4,4,Harry,You’re welcome. Have a nice day.,pNInz6obpgDQGcFmaJgB,04_Harry_012.mp3,True
