scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Scene,"Living room decorated for a small house party. People are chatting, holding drinks and sitting on a sofa.",EXAVITQu4vr4xnSDxMaL,01_Scene_001.mp3,True
Slide 1,1,Action,Sarah welcomes her friends at the door.,EXAVITQu4vr4xnSDxMaL,01_Action_002.mp3,True
Slide 1,1,Sarah,"Hi, come in! I’m so glad you could make it.",EXAVITQu4vr4xnSDxMaL,01_Sarah_003.mp3,True
Slide 1,1,Alex,"Thanks, Sarah. The place looks great!",EXAVITQu4vr4xnSDxMaL,01_Alex_004.mp3,True
Slide 2,2,Scene,"Medium shot – Sarah, Alex and Mia standing near a table with snacks.",EXAVITQu4vr4xnSDxMaL,02_Scene_005.mp3,True
Slide 2,2,Mia,"So, Alex, what do you usually do in your free time?",EXAVITQu4vr4xnSDxMaL,02_Mia_006.mp3,True
Slide 2,2,Alex,I love playing the guitar and watching football matches on TV. What about you?,EXAVITQu4vr4xnSDxMaL,02_Alex_007.mp3,True
Slide 2,2,Mia,"I sometimes paint at the weekend, but I work out every day.",EXAVITQu4vr4xnSDxMaL,02_Mia_008.mp3,True
Slide 3,3,Scene,Close-up – Alex smiling.,EXAVITQu4vr4xnSDxMaL,03_Scene_009.mp3,True
Slide 3,3,Alex,That’s nice. Do you paint landscapes or people?,EXAVITQu4vr4xnSDxMaL,03_Alex_010.mp3,True
Slide 3,3,Mia,Mostly people. I like drawing faces. It’s relaxing.,EXAVITQu4vr4xnSDxMaL,03_Mia_011.mp3,True
Slide 4,4,Scene,Sarah joins in the conversation.,EXAVITQu4vr4xnSDxMaL,04_Scene_012.mp3,True
Slide 4,4,Sarah,I like taking photos of nature. I go hiking every month with friends.,EXAVITQu4vr4xnSDxMaL,04_Sarah_013.mp3,True
Slide 4,4,Alex,Sounds great! Where do you usually go hiking?,EXAVITQu4vr4xnSDxMaL,04_Alex_014.mp3,True
Slide 4,4,Sarah,I like visiting the countryside and the seaside with my friends.,EXAVITQu4vr4xnSDxMaL,04_Sarah_015.mp3,True
Slide 5,5,Scene,"Alex, Sarah, Mia; guests chatting behind them.",EXAVITQu4vr4xnSDxMaL,05_Scene_016.mp3,True
Slide 5,5,Alex,"What kind of music do you like, Sarah?",EXAVITQu4vr4xnSDxMaL,05_Alex_017.mp3,True
Slide 5,5,Sarah,I love pop and indie music. I listen to Ed Sheeran a lot.,EXAVITQu4vr4xnSDxMaL,05_Sarah_018.mp3,True
Slide 5,5,Mia,Me too! He’s my favourite singer.,EXAVITQu4vr4xnSDxMaL,05_Mia_019.mp3,True
Slide 6,6,Scene,Close-up – Mia and Sarah are listening to Alex.,EXAVITQu4vr4xnSDxMaL,06_Scene_020.mp3,True
Slide 6,6,Alex,I prefer rock music. I play in a small band with my friends.,EXAVITQu4vr4xnSDxMaL,06_Alex_021.mp3,True
Slide 6,6,Mia,Really? That’s cool! I can’t play any musical instruments.,EXAVITQu4vr4xnSDxMaL,06_Mia_022.mp3,True
Slide 6,6,Sarah,"Maybe you can play at my next party, Alex.",EXAVITQu4vr4xnSDxMaL,06_Sarah_023.mp3,True
Slide 6,6,Alex,"Sure, I’d love to.",EXAVITQu4vr4xnSDxMaL,06_Alex_024.mp3,True
Slide 7,7,Scene,"Guests smiling, someone takes a group photo (selfie). Alex is fixing his hair.",EXAVITQu4vr4xnSDxMaL,07_Scene_025.mp3,True
Slide 7,7,Sarah,"Everyone, come closer! Let’s take a group photo.",EXAVITQu4vr4xnSDxMaL,07_Sarah_026.mp3,True
Slide 7,7,Mia,"OK, ready? Say cheese!",EXAVITQu4vr4xnSDxMaL,07_Mia_027.mp3,True
Slide 7,7,Alex,"Wait, hold on. Let me fix my hair first.",EXAVITQu4vr4xnSDxMaL,07_Alex_028.mp3,True
